expedia_listing_page_url,start_date,end_date,file_name
https://www.expedia.com/Basseterre-Hotels-Sugar-Bay-Club-Suites-Hotel.h1404.Hotel-Information?bedroom_count_gt=&chain=&chkin=3%2F15%2F2024&chkout=3%2F22%2F2024&daysInFuture=&destType=CURRENT_LOCATION&destination=Frigate%20Bay%2C%20Basseterre%2C%20St.%20Kitts%20and%20Nevis&endDate=3%2F22%2F2024&expediaPropertyId=&group=&guestRating=&highlightedPropertyId=&hotelName=&latLong=17.30049%2C-62.68833&misId=&neighborhood=&petsIncluded=false&poi=&pricing_group=&pwa_ts=1708589317863&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&regionId=7172&rm1=a2&roomIndex=&searchId=720a7fdc-ffe3-406d-903d-47694810a1da&selected=1404&sort=RECOMMENDED&startDate=3%2F15%2F2024&stayLength=&theme=&us_bathroom_count_gt=&useRewards=false&userIntent=&vacationRentalsOnly=false&x_pwa=1,2/23/2024,12/27/2024,Sugar Bay Club Suites & Hotel
https://www.expedia.com/Punta-Cana-Hotels-The-Westin-Puntacana-Resort-Club.h6209304.Hotel-Information?bedroom_count_gt=&chain=&chkin=3%2F22%2F2024&chkout=3%2F29%2F2024&daysInFuture=&destType=CURRENT_LOCATION&destination=Punta%20Cana%2C%20La%20Altagracia%2C%20Dominican%20Republic&endDate=3%2F29%2F2024&expediaPropertyId=&group=&guestRating=&highlightedPropertyId=&hotelName=&latLong=18.538958%2C-68.356964&misId=&neighborhood=&petsIncluded=false&poi=&pricing_group=&pwa_ts=1708589436281&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&regionId=601906&rm1=a2&roomIndex=&searchId=24ba56eb-cab0-40f5-9a2d-3ac7ef0d2091&selected=6209304&sort=RECOMMENDED&startDate=3%2F22%2F2024&stayLength=&theme=&us_bathroom_count_gt=&useRewards=false&userIntent=&vacationRentalsOnly=false&x_pwa=1,2/23/2024,12/27/2024,Westin Puntacana
